camera_position,direction,index
"[0.0, -0.92, 0.25]","[0.442861407995224, -0.8925360441207886, 0.08516565710306168]",0
"[0.0, -0.92, 0.25]","[0.28146687150001526, -0.9569873809814453, 0.07036671787500381]",1
"[0.0, -0.92, 0.25]","[0.20029860734939575, -0.9774572253227234, 0.06676620244979858]",2
"[0.0, -0.92, 0.25]","[0.12885014712810516, -0.9895691871643066, 0.06442507356405258]",3
"[0.0, -0.92, 0.25]","[0.0, -0.9978874325752258, 0.06496662646532059]",4
"[0.0, -0.92, 0.25]","[-0.12885014712810516, -0.9895691871643066, 0.06442507356405258]",5
"[0.0, -0.92, 0.25]","[-0.20029860734939575, -0.9774572253227234, 0.06676620244979858]",6
"[0.0, -0.92, 0.25]","[-0.28146687150001526, -0.9569873809814453, 0.07036671787500381]",7
"[0.0, -0.92, 0.25]","[-0.442861407995224, -0.8925360441207886, 0.08516565710306168]",8
"[0.0, -0.92, 0.25]","[0.442861407995224, -0.8925360441207886, -0.08516565710306168]",9
"[0.0, -0.92, 0.25]","[0.28146687150001526, -0.9569873809814453, -0.07036671787500381]",10
"[0.0, -0.92, 0.25]","[0.20029860734939575, -0.9774572253227234, -0.06676620244979858]",11
"[0.0, -0.92, 0.25]","[0.12885014712810516, -0.9895691871643066, -0.06442507356405258]",12
"[0.0, -0.92, 0.25]","[0.0, -0.9978874325752258, -0.06496662646532059]",13
"[0.0, -0.92, 0.25]","[-0.12885014712810516, -0.9895691871643066, -0.06442507356405258]",14
"[0.0, -0.92, 0.25]","[-0.20029860734939575, -0.9774572253227234, -0.06676620244979858]",15
"[0.0, -0.92, 0.25]","[-0.28146687150001526, -0.9569873809814453, -0.07036671787500381]",16
"[0.0, -0.92, 0.25]","[-0.442861407995224, -0.8925360441207886, -0.08516565710306168]",17
"[0.0, -0.92, 0.25]","[0.43054619431495667, -0.8677161931991577, -0.2483920454978943]",18
"[0.0, -0.92, 0.25]","[0.2760525047779083, -0.9385785460472107, -0.20703938603401184]",19
"[0.0, -0.92, 0.25]","[0.19681990146636963, -0.9604811072349548, -0.19681990146636963]",20
"[0.0, -0.92, 0.25]","[0.1267627626657486, -0.9735380411148071, -0.1901441514492035]",21
"[0.0, -0.92, 0.25]","[0.0, -0.9814554452896118, -0.19169050455093384]",22
"[0.0, -0.92, 0.25]","[-0.1267627626657486, -0.9735380411148071, -0.1901441514492035]",23
"[0.0, -0.92, 0.25]","[-0.19681990146636963, -0.9604811072349548, -0.19681990146636963]",24
"[0.0, -0.92, 0.25]","[-0.2760525047779083, -0.9385785460472107, -0.20703938603401184]",25
"[0.0, -0.92, 0.25]","[-0.43054619431495667, -0.8677161931991577, -0.2483920454978943]",26
"[0.0, -0.92, 0.25]","[0.40871408581733704, -0.8237160444259644, -0.39299431443214417]",27
"[0.0, -0.92, 0.25]","[0.26609957218170166, -0.9047385454177856, -0.3326244652271271]",28
"[0.0, -0.92, 0.25]","[0.1903737187385559, -0.9290237426757812, -0.3172895312309265]",29
"[0.0, -0.92, 0.25]","[0.12287534028291702, -0.9436826705932617, -0.30718836188316345]",30
"[0.0, -0.92, 0.25]","[0.0, -0.9508883953094482, -0.309533953666687]",31
"[0.0, -0.92, 0.25]","[-0.12287534028291702, -0.9436826705932617, -0.30718836188316345]",32
"[0.0, -0.92, 0.25]","[-0.1903737187385559, -0.9290237426757812, -0.3172895312309265]",33
"[0.0, -0.92, 0.25]","[-0.26609957218170166, -0.9047385454177856, -0.3326244652271271]",34
"[0.0, -0.92, 0.25]","[-0.40871408581733704, -0.8237160444259644, -0.39299431443214417]",35
"[0.0, -0.92, 0.25]","[0.39549681544303894, -0.7970781922340393, -0.45634251832962036]",36
"[0.0, -0.92, 0.25]","[0.2598498463630676, -0.8834894895553589, -0.38977476954460144]",37
"[0.0, -0.92, 0.25]","[0.18629242479801178, -0.9091070294380188, -0.37258484959602356]",38
"[0.0, -0.92, 0.25]","[0.12040120363235474, -0.9246813058853149, -0.3612036108970642]",39
"[0.0, -0.92, 0.25]","[0.0, -0.9314574003219604, -0.36385053396224976]",40
"[0.0, -0.92, 0.25]","[-0.12040120363235474, -0.9246813058853149, -0.3612036108970642]",41
"[0.0, -0.92, 0.25]","[-0.18629242479801178, -0.9091070294380188, -0.37258484959602356]",42
"[0.0, -0.92, 0.25]","[-0.2598498463630676, -0.8834894895553589, -0.38977476954460144]",43
"[0.0, -0.92, 0.25]","[-0.39549681544303894, -0.7970781922340393, -0.45634251832962036]",44
"[0.0, -0.92, 0.5]","[0.43054619431495667, -0.8677161931991577, 0.2483920454978943]",45
"[0.0, -0.92, 0.5]","[0.2760525047779083, -0.9385785460472107, 0.20703938603401184]",46
"[0.0, -0.92, 0.5]","[0.19681990146636963, -0.9604811072349548, 0.19681990146636963]",47
"[0.0, -0.92, 0.5]","[0.1267627626657486, -0.9735380411148071, 0.1901441514492035]",48
"[0.0, -0.92, 0.5]","[0.0, -0.9814554452896118, 0.19169050455093384]",49
"[0.0, -0.92, 0.5]","[-0.1267627626657486, -0.9735380411148071, 0.1901441514492035]",50
"[0.0, -0.92, 0.5]","[-0.19681990146636963, -0.9604811072349548, 0.19681990146636963]",51
"[0.0, -0.92, 0.5]","[-0.2760525047779083, -0.9385785460472107, 0.20703938603401184]",52
"[0.0, -0.92, 0.5]","[-0.43054619431495667, -0.8677161931991577, 0.2483920454978943]",53
"[0.0, -0.92, 0.5]","[0.442861407995224, -0.8925360441207886, 0.08516565710306168]",54
"[0.0, -0.92, 0.5]","[0.28146687150001526, -0.9569873809814453, 0.07036671787500381]",55
"[0.0, -0.92, 0.5]","[0.20029860734939575, -0.9774572253227234, 0.06676620244979858]",56
"[0.0, -0.92, 0.5]","[0.12885014712810516, -0.9895691871643066, 0.06442507356405258]",57
"[0.0, -0.92, 0.5]","[0.0, -0.9978874325752258, 0.06496662646532059]",58
"[0.0, -0.92, 0.5]","[-0.12885014712810516, -0.9895691871643066, 0.06442507356405258]",59
"[0.0, -0.92, 0.5]","[-0.20029860734939575, -0.9774572253227234, 0.06676620244979858]",60
"[0.0, -0.92, 0.5]","[-0.28146687150001526, -0.9569873809814453, 0.07036671787500381]",61
"[0.0, -0.92, 0.5]","[-0.442861407995224, -0.8925360441207886, 0.08516565710306168]",62
"[0.0, -0.92, 0.5]","[0.442861407995224, -0.8925360441207886, -0.08516565710306168]",63
"[0.0, -0.92, 0.5]","[0.28146687150001526, -0.9569873809814453, -0.07036671787500381]",64
"[0.0, -0.92, 0.5]","[0.20029860734939575, -0.9774572253227234, -0.06676620244979858]",65
"[0.0, -0.92, 0.5]","[0.12885014712810516, -0.9895691871643066, -0.06442507356405258]",66
"[0.0, -0.92, 0.5]","[0.0, -0.9978874325752258, -0.06496662646532059]",67
"[0.0, -0.92, 0.5]","[-0.12885014712810516, -0.9895691871643066, -0.06442507356405258]",68
"[0.0, -0.92, 0.5]","[-0.20029860734939575, -0.9774572253227234, -0.06676620244979858]",69
"[0.0, -0.92, 0.5]","[-0.28146687150001526, -0.9569873809814453, -0.07036671787500381]",70
"[0.0, -0.92, 0.5]","[-0.442861407995224, -0.8925360441207886, -0.08516565710306168]",71
